assembly	protein	gene_product	database	contig	coordinates	nearest_mobile_element_bp	mobile_adjacent_5kb	mobile_adjacent_10kb	context_call_10kb	adjacent_mobile_features
GCF_006494835.1	WP_011109578.1	EF3023 family LPXTG-anchored polysaccharide lyase	VFDB	NZ_CP039296.1	2902035-2906153	69836	0	0	no mobile element within 10 kb	
GCF_006494835.1	WP_154081516.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP039296.1	1057226-1060690	59433	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_CP039548.1	1048282-1049436	70687	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002360302.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP039548.1	1530011-1530505	37033	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002368685.1	D-Ala-D-Ala dipeptidase VanX	CARD	NZ_CP039548.1	2212353-2212961	5780	0	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_002368691.1	D-alanine--(R)-lactate ligase VanB	CARD	NZ_CP039548.1	2212967-2213995	6071	0	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_002368693.1	D-lactate dehydrogenase VanH	CARD	NZ_CP039548.1	2213988-2214959	5107	0	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_002368694.1	glycopeptide resistance accessory protein VanW-B	CARD	NZ_CP039548.1	2214956-2215783	4283	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_006494855.1	WP_002368695.1	D-Ala-D-Ala carboxypeptidase VanY-B	CARD	NZ_CP039548.1	2215801-2216607	3459	1	1	MOBILE-ADJACENT	relaxase/mobilization nuclease domain-containing protein
GCF_006494855.1	WP_002368696.1	vancomycin resistance histidine kinase VanS-B	CARD	NZ_CP039548.1	2216783-2218126	1940	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_006494855.1	WP_002368697.1	vancomycin resistance response regulator transcription factor VanR-B	CARD	NZ_CP039548.1	2218126-2218788	1278	1	1	MOBILE-ADJACENT	plasmid mobilization protein; relaxase/mobilization nuclease domain-containing protein
GCF_006494855.1	WP_002387187.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP039548.1	2631448-2632944	68668	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387312.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP039548.1	2798736-2800463	28229	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387383.1	serine/threonine protein kinase IreK	CARD	NZ_CP039548.1	2995191-2997347	18030	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP039548.1	730234-730827	154688	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002356954.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP039548.1	1996626-1997552	34144	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP039548.1	1580184-1580474	19594	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NZ_CP039548.1	484857-485048	1669	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494855.1	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NZ_CP039548.1	484617-484823	1429	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494855.1	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP039548.1	2419418-2420218	24792	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NZ_CP039548.1	2410356-2412809	32201	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002362225.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP039548.1	2420215-2421030	23980	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002362618.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NZ_CP039548.1	2417776-2418945	26065	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002362627.1	ABC transporter permease	VFDB	NZ_CP039548.1	2406561-2407373	37637	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002367100.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NZ_CP039548.1	2412836-2413687	31323	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002369215.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP039548.1	1838710-1841937	6450	0	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_002369249.1	quorum-sensing system protein FsrB	VFDB	NZ_CP039548.1	1766065-1766793	26232	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002369251.1	gelatinase GelE	VFDB	NZ_CP039548.1	1762958-1764490	28535	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002369252.1	serine proteinase SprE	VFDB	NZ_CP039548.1	1762055-1762909	30116	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002370235.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_CP039548.1	450215-454120	3767	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_006494855.1	WP_002370472.1	glycosyltransferase family A protein	VFDB	NZ_CP039548.1	2416291-2417757	27253	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002370929.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NZ_CP039548.1	485109-488090	910	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30-like element ISEnfa364 family transposase; IS6 family transposase
GCF_006494855.1	WP_002370931.1	cytolysin regulator CylR2	VFDB	NZ_CP039548.1	484013-484213	825	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6 family transposase
GCF_006494855.1	WP_002376666.1	UDP-galactopyranose mutase	VFDB	NZ_CP039548.1	2408742-2409881	35129	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002379309.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP039548.1	1060694-1062124	57999	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002379310.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP039548.1	1062121-1064004	56119	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002379311.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP039548.1	1064098-1064952	55171	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002386893.1	GHKL domain-containing protein, partial	VFDB	NZ_CP039548.1	1764725-1766068	26957	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387027.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP039548.1	915921-916931	203192	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387127.1	ATP-binding cassette domain-containing protein	VFDB	NZ_CP039548.1	2407373-2408758	36252	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387128.1	lipoprotein CpsH	VFDB	NZ_CP039548.1	2409940-2410338	34672	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002387129.1	glycosyltransferase family 2 protein	VFDB	NZ_CP039548.1	2413711-2416221	28789	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_002399773.1	hyaluronate lyase HylB	VFDB	NZ_CP039548.1	779874-782888	204328	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_010714416.1	collagen-binding MSCRAMM adhesin Ace	VFDB	NZ_CP039548.1	1068034-1070058	50065	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_010774166.1	cysteine peptidase family C39 domain-containing protein	VFDB	NZ_CP039548.1	488102-488914	86	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS30-like element ISEnfa364 family transposase; IS6 family transposase
GCF_006494855.1	WP_010774232.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP039548.1	2266768-2269992	5715	0	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_011109430.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB	NZ_CP039548.1	146451-150368	3011	1	1	MOBILE-ADJACENT	
GCF_006494855.1	WP_011109506.1	response regulator transcription factor FsrA	VFDB	NZ_CP039548.1	1766882-1767613	25412	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_011109578.1	EF3023 family LPXTG-anchored polysaccharide lyase	VFDB	NZ_CP039548.1	2902035-2906153	69836	0	0	no mobile element within 10 kb	
GCF_006494855.1	WP_154081516.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP039548.1	1057226-1060690	59433	0	0	no mobile element within 10 kb	
GCF_009697285.1	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	CARD;CARD	NZ_CP046078.1	33782-34390	477	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	CARD;CARD	NZ_CP046077.1	1219228-1219725	4083	1	1	MOBILE-ADJACENT	IS256-like element ISEf1 family transposase
GCF_009697285.1	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	CARD	NZ_CP046076.1	169750-171189	130	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase; IS6-like element IS1216 family transposase; recombinase family protein
GCF_009697285.1	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP046078.1	24907-25644	197	1	1	MOBILE-ADJACENT	Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_001059542.1	D-lactate dehydrogenase VanH-A	CARD	NZ_CP046078.1	31784-32752	2115	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_001079844.1	D-alanine--(R)-lactate ligase VanA	CARD;CARD	NZ_CP046078.1	32745-33776	1091	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	CARD	NZ_CP046078.1	29742-30437	214	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_001574275.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_CP046076.1	195756-197675	90	1	1	MOBILE-ADJACENT	IS256-like element ISEf1 family transposase; IS66 family insertion sequence element accessory protein TnpB; IS66 family transposase
GCF_009697285.1	WP_001574277.1	tetracycline efflux MFS transporter Tet(L)	CARD	NZ_CP046076.1	192840-194216	272	1	1	MOBILE-ADJACENT	IS256-like element ISEf1 family transposase; IS66 family insertion sequence element accessory protein TnpB; IS66 family transposase
GCF_009697285.1	WP_002287458.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_CP046077.1	2822091-2823569	6165	0	1	MOBILE-ADJACENT	
GCF_009697285.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_CP046077.1	2347228-2347776	71037	0	0	no mobile element within 10 kb	
GCF_009697285.1	WP_002291207.1	multidrug efflux MFS transporter EfmA	CARD	NZ_CP046077.1	563402-564688	25537	0	0	no mobile element within 10 kb	
GCF_009697285.1	WP_002296290.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP046077.1	2247983-2249713	7105	0	1	MOBILE-ADJACENT	
GCF_009697285.1	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	CARD	NZ_CP046078.1	30415-31569	887	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; Tn3 family transposase; recombinase family protein
GCF_009697285.1	WP_002286379.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_CP046077.1	415613-416632	1779	1	1	MOBILE-ADJACENT	ISL3 family transposase
GCF_009697285.1	WP_002286924.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP046077.1	1933308-1936535	4329	1	1	MOBILE-ADJACENT	MobT family relaxase
GCF_009697285.1	WP_002289238.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_CP046077.1	2358677-2360842	66674	0	0	no mobile element within 10 kb	
GCF_009697285.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP046077.1	2244599-2245192	3721	1	1	MOBILE-ADJACENT	IS30 family transposase
GCF_009697285.1	WP_002296629.1	LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA	VFDB	NZ_CP046077.1	1576247-1577221	4187	1	1	MOBILE-ADJACENT	IS110 family RNA-guided transposase
GCF_009697285.1	WP_002305526.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP046077.1	2867193-2870420	417	1	1	MOBILE-ADJACENT	pLS20_p028 family conjugation system transmembrane protein; site-specific integrase
GCF_009697285.1	WP_061102120.1	collagen-binding MSCRAMM adhesin Scm	VFDB	NZ_CP046077.1	2988356-2989939	31804	0	0	no mobile element within 10 kb	
GCF_009697285.1	WP_154494750.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP046077.1	2900965-2906667	4397	1	1	MOBILE-ADJACENT	DDE-type integrase/transposase/recombinase; IS3 family transposase
GCF_009734005.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_CP038996.1	2131069-2131617	13951	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_002291207.1	multidrug efflux MFS transporter EfmA	CARD	NZ_CP038996.1	501359-502645	20181	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_002296290.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP038996.1	1986815-1988545	6909	0	1	MOBILE-ADJACENT	
GCF_009734005.1	WP_002302681.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_CP038996.1	2621539-2623017	24023	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_063856712.1	D-alanine--(R)-lactate ligase VanM	CARD;CARD	NZ_CP038997.1	56521-57552	300	1	1	MOBILE-ADJACENT	IS200/IS605 family element RNA-guided endonuclease TnpB; IS200/IS605-like element ISEfa4 family transposase; IS6-like element IS1216 family transposase
GCF_009734005.1	WP_063856726.1	vancomycin resistance response regulator transcription factor VanR-M	CARD	NZ_CP038997.1	60729-61427	275	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_009734005.1	WP_063856748.1	vancomycin resistance histidine kinase VanS-M	CARD	NZ_CP038997.1	59624-60736	966	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_009734005.1	WP_069286758.1	D-lactate dehydrogenase VanH	CARD	NZ_CP038997.1	57545-58513	1324	1	1	MOBILE-ADJACENT	IS200/IS605 family element RNA-guided endonuclease TnpB; IS200/IS605-like element ISEfa4 family transposase; IS6-like element IS1216 family transposase
GCF_009734005.1	WP_107309513.1	D-Ala-D-Ala carboxypeptidase VanY-M	CARD	NZ_CP038997.1	58651-59514	2188	1	1	MOBILE-ADJACENT	IS200/IS605 family element RNA-guided endonuclease TnpB; IS200/IS605-like element ISEfa4 family transposase; IS6-like element IS1216 family transposase
GCF_009734005.1	WP_002286379.1	LacI family DNA-binding transcriptional regulator	VFDB	NZ_CP038996.1	356729-357748	19048	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_002289238.1	collagen-binding MSCRAMM adhesin Acm	VFDB	NZ_CP038996.1	2142519-2144684	18454	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_002289382.1	collagen-binding MSCRAMM adhesin Scm	VFDB	NZ_CP038996.1	2754144-2756126	31805	0	0	no mobile element within 10 kb	
GCF_009734005.1	WP_002289402.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP038996.1	1983431-1984024	3721	1	1	MOBILE-ADJACENT	IS30 family transposase
GCF_009734005.1	WP_002296629.1	LPXTG-anchored fibrinogen/nidogen-binding adhesin SgrA	VFDB	NZ_CP038996.1	1451632-1452606	4187	1	1	MOBILE-ADJACENT	IS110 family RNA-guided transposase
GCF_009734005.1	WP_010729285.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP038996.1	2660366-2663593	5248	0	1	MOBILE-ADJACENT	
GCF_009734005.1	WP_016252734.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP038996.1	2690069-2695996	924	1	1	MOBILE-ADJACENT	IS110 family RNA-guided transposase; IS3 family transposase; transposase family protein
GCF_018986755.2	WP_000402347.1	D-Ala-D-Ala dipeptidase VanX-A	CARD;CARD	NZ_CP075608.1	6122-6730	4169	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_000516404.1	glycopeptide resistance protein VanZ-A	CARD	NZ_CP075608.1	8221-8706	4370	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_000627290.1	streptothricin N-acetyltransferase Sat4	CARD	NZ_CP075605.1	52772-53314	2829	1	1	MOBILE-ADJACENT	IS3 family transposase; IS6-like element IS1216 family transposase; transposase
GCF_018986755.2	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_CP075604.2	3242133-3244052	377	1	1	MOBILE-ADJACENT	excisionase; tyrosine-type recombinase/integrase
GCF_018986755.2	WP_001028144.1	bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia	CARD	NZ_CP075604.2	619511-620950	130	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase
GCF_018986755.2	WP_001059542.1	D-lactate dehydrogenase VanH-A	CARD	NZ_CP075608.1	4124-5092	2171	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_001079845.1	D-alanine--(R)-lactate ligase VanA	CARD;CARD	NZ_CP075608.1	5085-6116	3132	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	CARD	NZ_CP075605.1	53407-54201	3064	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	CARD;CARD	NZ_CP075605.1	51867-52775	1924	1	1	MOBILE-ADJACENT	IS3 family transposase; IS6-like element IS1216 family transposase; transposase
GCF_018986755.2	WP_001280781.1	vancomycin resistance response regulator transcription factor VanR-A	CARD	NZ_CP075608.1	2082-2777	129	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_CP075605.1	63956-64693	127	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_018986755.2	WP_002305818.1	vancomycin resistance histidine kinase VanS-A	CARD	NZ_CP075608.1	2755-3909	802	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase
GCF_018986755.2	WP_002331392.1	type A-7 chloramphenicol O-acetyltransferase	CARD;CARD;CARD	NZ_CP075605.1	68101-68748	305	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; MobV family relaxase
GCF_018986755.2	WP_002357568.1	trimethoprim-sensitive dihydrofolate reductase	CARD	NZ_CP075604.2	1596040-1596534	37033	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002358140.1	multidrug efflux MFS transporter EmeA	CARD	NZ_CP075604.2	1109143-1110297	15526	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	CARD	NZ_CP075604.2	2640301-2641797	12771	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_010708444.1	multidrug efflux ABC transporter subunit EfrA	CARD	NZ_CP075604.2	2812808-2814535	34284	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_029656388.1	VanY-A/VanY-F/VanY-M family D-Ala-D-Ala carboxypeptidase	CARD	NZ_CP075608.1	7136-8068	5008	0	1	MOBILE-ADJACENT	
GCF_018986755.2	WP_216788108.1	Stk1 family PASTA domain-containing Ser/Thr kinase	CARD	NZ_CP075604.2	3032417-3034576	2608	1	1	MOBILE-ADJACENT	ISL3-like element IS1476 family transposase
GCF_018986755.2	WP_002355633.1	ATP-dependent Clp endopeptidase proteolytic subunit ClpP	VFDB	NZ_CP075604.2	743651-744244	121399	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002356646.1	undecaprenyl pyrophosphate synthase	VFDB	NZ_CP075604.2	2389766-2390581	23765	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002357513.1	BMC domain-containing protein	VFDB	NZ_CP075604.2	1650999-1651289	19593	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002358129.1	endocarditis and biofilm-associated pilus tip protein EbpA	VFDB	NZ_CP075604.2	1118087-1121551	24470	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002358181.1	lanthipeptide cytolysin subunit CylL-S	VFDB	NZ_CP075604.2	433080-433271	9753	0	1	MOBILE-ADJACENT	
GCF_018986755.2	WP_002358483.1	cytolysin regulator CylR2	VFDB	NZ_CP075604.2	432236-432436	10588	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002358485.1	lanthipeptide cytolysin subunit CylL-L	VFDB	NZ_CP075604.2	432840-433046	9978	0	1	MOBILE-ADJACENT	
GCF_018986755.2	WP_002358487.1	type 2 lanthipeptide synthetase LanM family protein	VFDB	NZ_CP075604.2	433332-436313	6711	0	1	MOBILE-ADJACENT	
GCF_018986755.2	WP_002358488.1	peptidase domain-containing ABC transporter	VFDB	NZ_CP075604.2	436325-438469	4555	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_018986755.2	WP_002359680.1	phosphatidate cytidylyltransferase	VFDB	NZ_CP075604.2	2388969-2389769	24577	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359681.1	CDP-glycerol glycerophosphotransferase family protein	VFDB	NZ_CP075604.2	2387327-2388496	25850	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359682.1	glycosyltransferase family A protein	VFDB	NZ_CP075604.2	2385842-2387308	27038	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359684.1	casular polysaccharide biosynthesis protein CpsF	VFDB	NZ_CP075604.2	2382387-2383238	31108	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359685.1	UDP-N-acetylmuramate dehydrogenase	VFDB	NZ_CP075604.2	2379907-2382360	31986	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359687.1	UDP-galactopyranose mutase	VFDB	NZ_CP075604.2	2378293-2379432	34914	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002359803.1	fibrinogen-binding MSCRAMM adhesin Fss3	VFDB	NZ_CP075604.2	2220301-2223525	399	1	1	MOBILE-ADJACENT	ISL3-like element IS1476 family transposase
GCF_018986755.2	WP_002360002.1	Mn/Fe ABC transporter substrate-binding lipoprotein EfaA	VFDB	NZ_CP075604.2	2008702-2009628	38316	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002360104.1	gelatinase GelE	VFDB	NZ_CP075604.2	1834056-1835588	4777	1	1	MOBILE-ADJACENT	ISL3-like element IS1476 family transposase
GCF_018986755.2	WP_002360105.1	serine proteinase SprE	VFDB	NZ_CP075604.2	1833153-1834007	6358	0	1	MOBILE-ADJACENT	
GCF_018986755.2	WP_002368282.1	site-2 protease family protein	VFDB	NZ_CP075604.2	439705-440688	2336	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_018986755.2	WP_002379309.1	endocarditis and biofilm-associated pilus minor subunit EbpB	VFDB	NZ_CP075604.2	1121555-1122985	27938	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002379310.1	endocarditis and biofilm-associated pilus major subunit EbpC	VFDB	NZ_CP075604.2	1122982-1124865	29365	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002379311.1	Ebp pilus assembly class C sortase	VFDB	NZ_CP075604.2	1124959-1125813	31342	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002387027.1	LacI family transcriptional regulator BopD	VFDB	NZ_CP075604.2	930848-931858	15453	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002387128.1	lipoprotein CpsH	VFDB	NZ_CP075604.2	2379491-2379889	34457	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002388342.1	ABC transporter permease	VFDB	NZ_CP075604.2	2376112-2376924	37422	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002399773.1	hyaluronate lyase HylB	VFDB	NZ_CP075604.2	793291-796305	99221	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002404803.1	S8 family serine peptidase	VFDB	NZ_CP075604.2	438466-439704	3320	1	1	MOBILE-ADJACENT	recombinase family protein
GCF_018986755.2	WP_002404870.1	glycosyltransferase family 2 protein	VFDB	NZ_CP075604.2	2383262-2385772	28574	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_002404872.1	ATP-binding cassette domain-containing protein	VFDB	NZ_CP075604.2	2376924-2378309	36037	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_012579113.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_CP075606.1	50385-54311	4973	1	1	MOBILE-ADJACENT	type IV conjugative transfer system protein TraE
GCF_018986755.2	WP_216788135.1	Rib/alpha-like domain-containing protein	VFDB	NZ_CP075604.2	461076-466724	146	1	1	MOBILE-ADJACENT	IS256-like element IS256 family transposase
GCF_018986755.2	WP_216788147.1	collagen binding domain-containing protein	VFDB	NZ_CP075604.2	1128895-1130919	35278	0	0	no mobile element within 10 kb	
GCF_018986755.2	WP_374107764.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_CP075604.2	395634-399539	3769	1	1	MOBILE-ADJACENT	tyrosine-type recombinase/integrase
GCF_018986755.2	WP_374107765.1	LPXTG-anchored aggregation substance	VFDB;VFDB;VFDB;VFDB	NZ_CP075604.2	543823-547704	4406	1	1	MOBILE-ADJACENT	type IV secretion system protein
GCF_019977575.1	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	CARD;CARD	NZ_AP024839.1	51424-53343	136	1	1	MOBILE-ADJACENT	IS6-like element IS1216 family transposase; ISL3 family transposase; excisionase
GCF_019977575.1	WP_000868795.1	trimethoprim-resistant dihydrofolate reductase DfrG	CARD;CARD	NZ_AP024837.1	65164-65661	3682	1	1	MOBILE-ADJACENT	site-specific integrase
GCF_019977575.1	WP_001038796.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	CARD	NZ_AP024838.1	82604-83341	472	1	1	MOBILE-ADJACENT	IS1380-like element ISSsu5 family transposase; IS3-like element ISEnfa3 family transposase; IS6-like element IS1216 family transposase
GCF_019977575.1	WP_002287458.1	ABC-F type ribosomal protection protein Msr(C)	CARD	NZ_AP024837.1	2793427-2794905	6164	0	1	MOBILE-ADJACENT	
GCF_019977575.1	WP_002289795.1	aminoglycoside 6'-N-acetyltransferase	CARD	NZ_AP024837.1	2201514-2202062	8095	0	1	MOBILE-ADJACENT	
GCF_019977575.1	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	CARD;CARD	NZ_AP024838.1	89295-90158	799	1	1	MOBILE-ADJACENT	IS1380-like element ISSsu5 family transposase; ISL3 family transposase; Tn3 family transposase
